league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
LaLiga,2223,Real Betis,Roberto González,ESP,MF,21,2001,2,0,54,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,Rodri,ESP,MF,22,2000,30,19,1601,17.8,2,3,5,2,0,0,0,0,0.11,0.17,0.28,0.11,0.28
LaLiga,2223,Real Betis,Rui Silva,POR,GK,28,1994,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,Sergio Canales,ESP,MF,31,1991,31,28,2402,26.7,4,3,7,3,1,1,4,2,0.15,0.11,0.26,0.11,0.22
LaLiga,2223,Real Betis,Víctor Ruiz,ESP,DF,33,1989,10,5,560,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,William Carvalho,POR,MF,30,1992,33,31,2438,27.1,3,1,4,3,0,0,6,1,0.11,0.04,0.15,0.11,0.15
LaLiga,2223,Real Betis,Willian José,BRA,FW,30,1991,28,6,731,8.1,2,1,3,1,1,1,1,0,0.25,0.12,0.37,0.12,0.25
LaLiga,2223,Real Betis,Youssouf Sabaly,SEN,DF,29,1993,23,19,1680,18.7,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
LaLiga,2223,Real Betis,Álex Moreno,ESP,DF,29,1993,15,15,1350,15.0,0,3,3,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2
LaLiga,2223,Real Betis,Édgar González,ESP,DF,25,1997,25,18,1772,19.7,0,0,0,0,0,0,8,2,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Andriy Lunin,UKR,GK,23,1999,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Antonio Rüdiger,GER,DF,29,1993,33,26,2415,26.8,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04
LaLiga,2223,Real Madrid,Aurélien Tchouaméni,FRA,MF,22,2000,33,24,2119,23.5,0,4,4,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17
LaLiga,2223,Real Madrid,Casemiro,BRA,MF,30,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Dani Carvajal,ESP,DF,30,1992,27,20,1784,19.8,0,2,2,0,0,0,8,1,0.0,0.1,0.1,0.0,0.1
LaLiga,2223,Real Madrid,Dani Ceballos,ESP,MF,25,1996,30,19,1564,17.4,0,4,4,0,0,0,8,0,0.0,0.23,0.23,0.0,0.23
LaLiga,2223,Real Madrid,David Alaba,AUT,DF,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.05,0.15,0.2,0.05,0.2
LaLiga,2223,Real Madrid,Eden Hazard,BEL,FW,31,1991,6,2,196,2.2,0,1,1,0,0,1,0,0,0.0,0.46,0.46,0.0,0.46
LaLiga,2223,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",19,2002,37,21,2010,22.3,0,1,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04
LaLiga,2223,Real Madrid,Federico Valverde,URU,"MF,FW",24,1998,34,29,2502,27.8,7,4,11,7,0,0,2,0,0.25,0.14,0.4,0.25,0.4
LaLiga,2223,Real Madrid,Ferland Mendy,FRA,DF,27,1995,18,17,1351,15.0,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07
LaLiga,2223,Real Madrid,Jesús Vallejo,ESP,DF,25,1997,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Madrid,Karim Benzema,FRA,FW,34,1987,24,24,2038,22.6,19,3,22,12,7,8,1,0,0.84,0.13,0.97,0.53,0.66
LaLiga,2223,Real Madrid,Lucas Vázquez,ESP,DF,31,1991,23,12,1144,12.7,4,1,5,4,0,0,2,0,0.31,0.08,0.39,0.31,0.39
