league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Bundesliga,2223,Union Berlin,Timo Baumgartl,GER,DF,26,1996,8,6,562,6.2,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16
Bundesliga,2223,Union Berlin,Tymoteusz Puchacz,POL,MF,23,1999,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Amos Pieper,GER,DF,24,1998,29,22,1957,21.7,2,1,3,2,0,0,9,0,0.09,0.05,0.14,0.09,0.14
Bundesliga,2223,Werder Bremen,Anthony Jung,GER,MF,30,1991,34,32,2617,29.1,2,5,7,2,0,0,2,0,0.07,0.17,0.24,0.07,0.24
Bundesliga,2223,Werder Bremen,Christian Groß,GER,MF,33,1989,26,23,1886,21.0,1,1,2,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1
Bundesliga,2223,Werder Bremen,Dikeni-Rafid Salifou,TOG,MF,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Eren Dinkçi,GER,MF,20,2001,17,0,231,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Fabio Chiarodia,ITA,DF,17,2005,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Felix Agu,NGA,"DF,MF",22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Ilia Gruev,BUL,MF,22,2000,31,18,1584,17.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Jean-Manuel Mbom,GER,"DF,MF",22,2000,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Jens Stage,DEN,MF,25,1996,32,21,1855,20.6,3,3,6,3,0,0,5,0,0.15,0.15,0.29,0.15,0.29
Bundesliga,2223,Werder Bremen,Jiří Pavlenka,CZE,GK,30,1992,33,33,2908,32.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Lee Buchanan,ENG,MF,21,2001,21,2,472,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19
Bundesliga,2223,Werder Bremen,Leonardo Bittencourt,GER,MF,28,1993,25,22,1629,18.1,3,2,5,3,0,0,10,0,0.17,0.11,0.28,0.17,0.28
Bundesliga,2223,Werder Bremen,Marco Friedl,AUT,DF,24,1998,30,30,2594,28.8,0,0,0,0,0,0,8,1,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Marvin Ducksch,GER,FW,28,1994,34,34,2852,31.7,12,6,18,12,0,1,4,0,0.38,0.19,0.57,0.38,0.57
Bundesliga,2223,Werder Bremen,Maximilian Philipp,GER,FW,28,1994,15,3,442,4.9,1,0,1,1,0,0,1,0,0.2,0.0,0.2,0.2,0.2
Bundesliga,2223,Werder Bremen,Michael Zetterer,GER,GK,27,1995,2,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Miloš Veljković,SRB,DF,26,1995,29,25,2266,25.2,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12
Bundesliga,2223,Werder Bremen,Mitchell Weiser,GER,MF,28,1994,30,29,2516,28.0,2,9,11,2,0,0,7,0,0.07,0.32,0.39,0.07,0.39
Bundesliga,2223,Werder Bremen,Niclas Füllkrug,GER,FW,29,1993,28,28,2477,27.5,16,5,21,11,5,5,4,0,0.58,0.18,0.76,0.4,0.58
Bundesliga,2223,Werder Bremen,Nicolai Rapp,GER,"DF,MF",25,1996,7,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Niklas Schmidt,GER,MF,24,1998,24,11,1087,12.1,3,0,3,3,0,0,3,0,0.25,0.0,0.25,0.25,0.25
Bundesliga,2223,Werder Bremen,Niklas Stark,GER,DF,27,1995,27,23,2077,23.1,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Werder Bremen,Oliver Burke,SCO,FW,25,1997,15,1,268,3.0,2,0,2,2,0,0,0,0,0.67,0.0,0.67,0.67,0.67
Bundesliga,2223,Werder Bremen,Romano Schmid,AUT,"MF,FW",22,2000,27,15,1520,16.9,1,3,4,1,0,0,3,0,0.06,0.18,0.24,0.06,0.24
Bundesliga,2223,Wolfsburg,Aster Vranckx,BEL,MF,19,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Bartol Franjić,CRO,MF,22,2000,5,3,227,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4
Bundesliga,2223,Wolfsburg,Dženan Pejčinović,GER,FW,17,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Felix Nmecha,GER,MF,21,2000,30,19,1836,20.4,3,5,8,3,0,0,3,0,0.15,0.25,0.39,0.15,0.39
Bundesliga,2223,Wolfsburg,Jakub Kamiński,POL,"MF,FW",20,2002,31,25,2058,22.9,4,2,6,4,0,0,0,0,0.17,0.09,0.26,0.17,0.26
Bundesliga,2223,Wolfsburg,Jonas Wind,DEN,FW,23,1999,24,15,1291,14.3,6,0,6,6,0,1,1,0,0.42,0.0,0.42,0.42,0.42
Bundesliga,2223,Wolfsburg,Josip Brekalo,CRO,"MF,FW",24,1998,6,3,271,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
Bundesliga,2223,Wolfsburg,Josuha Guilavogui,FRA,"DF,MF",31,1990,23,11,1180,13.1,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08
Bundesliga,2223,Wolfsburg,Jérôme Roussillon,GLP,"DF,MF",29,1993,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Kevin Paredes,USA,MF,19,2003,22,1,529,5.9,1,3,4,1,0,0,2,0,0.17,0.51,0.68,0.17,0.68
Bundesliga,2223,Wolfsburg,Kilian Fischer,GER,DF,21,2000,10,5,502,5.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Koen Casteels,BEL,GK,30,1992,34,34,3060,34.0,0,1,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03
Bundesliga,2223,Wolfsburg,Luca Waldschmidt,GER,"FW,MF",26,1996,18,4,523,5.8,4,0,4,3,1,1,0,0,0.69,0.0,0.69,0.52,0.52
Bundesliga,2223,Wolfsburg,Lukas Nmecha,GER,FW,23,1998,16,10,899,10.0,4,0,4,4,0,0,3,0,0.4,0.0,0.4,0.4,0.4
Bundesliga,2223,Wolfsburg,Lukáš Ambros,CZE,MF,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Mattias Svanberg,SWE,MF,23,1999,32,21,1835,20.4,4,6,10,4,0,0,4,0,0.2,0.29,0.49,0.2,0.49
Bundesliga,2223,Wolfsburg,Max Kruse,GER,MF,34,1988,5,2,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Maxence Lacroix,FRA,DF,22,2000,24,18,1627,18.1,1,0,1,1,0,0,1,0,0.06,0.0,0.06,0.06,0.06
Bundesliga,2223,Wolfsburg,Maximilian Arnold,GER,MF,28,1994,32,32,2767,30.7,5,3,8,2,3,5,5,0,0.16,0.1,0.26,0.07,0.16
Bundesliga,2223,Wolfsburg,Maximilian Philipp,GER,MF,28,1994,3,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Micky van de Ven,NED,DF,21,2001,33,33,2970,33.0,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06
Bundesliga,2223,Wolfsburg,Nicolas Cozza,FRA,DF,23,1999,5,0,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Wolfsburg,Omar Marmoush,EGY,"FW,MF",23,1999,33,15,1476,16.4,5,1,6,5,0,0,2,0,0.3,0.06,0.37,0.3,0.37
Bundesliga,2223,Wolfsburg,Patrick Wimmer,AUT,"MF,FW",21,2001,26,23,1648,18.3,4,8,12,4,0,0,7,0,0.22,0.44,0.66,0.22,0.66
Bundesliga,2223,Wolfsburg,Paulo Otávio,BRA,DF,27,1994,25,25,2041,22.7,0,5,5,0,0,0,7,0,0.0,0.22,0.22,0.0,0.22
Bundesliga,2223,Wolfsburg,Ridle Baku,GER,"DF,MF",24,1998,33,29,2580,28.7,5,3,8,5,0,0,6,0,0.17,0.1,0.28,0.17,0.28
Bundesliga,2223,Wolfsburg,Sebastiaan Bornauw,BEL,DF,23,1999,26,23,1928,21.4,1,0,1,1,0,0,8,0,0.05,0.0,0.05,0.05,0.05
Bundesliga,2223,Wolfsburg,Yannick Gerhardt,GER,MF,28,1994,29,22,1866,20.7,6,4,10,6,0,0,3,0,0.29,0.19,0.48,0.29,0.48
